Generation, Score, Total, Percent
1,10.0,100,10
2,23.0,100,23
3,21.0,100,21
4,23.0,100,23
5,22.0,100,22
6,22.0,100,22
7,22.0,100,22
8,23.0,100,23
9,23.0,100,23
10,23.0,100,23
11,23.0,100,23
12,23.0,100,23
13,23.0,100,23
14,24.0,100,24
15,23.0,100,23
16,23.0,100,23
17,24.0,100,24
18,22.0,100,22
19,24.0,100,24
20,24.0,100,24
21,25.0,100,25
22,29.0,100,29
23,31.0,100,31
24,36.0,100,36
25,39.0,100,39
26,34.0,100,34
27,39.0,100,39
28,42.0,100,42
29,39.0,100,39
30,40.0,100,40
31,44.0,100,44
32,44.0,100,44
33,44.0,100,44
34,44.0,100,44
35,45.0,100,45
36,45.0,100,45
37,47.0,100,47
38,45.0,100,45
39,45.0,100,45
40,45.0,100,45
41,48.0,100,48
42,48.0,100,48
43,50.0,100,50
44,49.0,100,49
45,50.0,100,50
46,50.0,100,50
47,51.0,100,51
48,51.0,100,51
49,53.0,100,53
50,53.0,100,53
51,53.0,100,53
52,54.0,100,54
53,53.0,100,53
54,53.0,100,53
55,54.0,100,54
56,53.0,100,53
57,54.0,100,54
58,54.0,100,54
59,52.0,100,52
60,53.0,100,53
61,53.0,100,53
62,54.0,100,54
63,54.0,100,54
64,55.0,100,55
65,55.0,100,55
66,54.0,100,54
67,57.0,100,57
68,57.0,100,57
69,57.0,100,57
70,56.0,100,56
71,56.0,100,56
72,56.0,100,56
73,57.0,100,57
74,58.0,100,58
75,58.0,100,58
76,57.0,100,57
77,57.0,100,57
78,56.0,100,56
79,57.0,100,57
80,57.0,100,57
81,59.0,100,59
82,59.0,100,59
83,60.0,100,60
84,60.0,100,60
85,60.0,100,60
86,60.0,100,60
87,59.0,100,59
88,59.0,100,59
89,59.0,100,59
90,61.0,100,61
91,63.0,100,63
92,62.0,100,62
93,63.0,100,63
94,66.0,100,66
95,64.0,100,64
96,65.0,100,65
97,67.0,100,67
98,66.0,100,66
99,67.0,100,67
100,64.0,100,64
