Generation: 100 | Score: [42.0/100] 42
Generation: 200 | Score: [69.0/100] 69
Generation: 300 | Score: [77.0/100] 77
Generation: 400 | Score: [78.0/100] 78
Generation: 500 | Score: [80.0/100] 80
Generation: 600 | Score: [83.0/100] 83
Generation: 700 | Score: [88.0/100] 88
Generation: 800 | Score: [89.0/100] 89
Generation: 900 | Score: [92.0/100] 92
Generation: 1000 | Score: [92.0/100] 92
Generation: 1100 | Score: [93.0/100] 93
Generation: 1200 | Score: [93.0/100] 93
Generation: 1300 | Score: [94.0/100] 94
Generation: 1400 | Score: [94.0/100] 94
Generation: 1500 | Score: [94.0/100] 94
Generation: 1600 | Score: [94.0/100] 94
Generation: 1700 | Score: [94.0/100] 94
Generation: 1800 | Score: [94.0/100] 94
Generation: 1900 | Score: [94.0/100] 94
Generation: 2000 | Score: [94.0/100] 94
Generation: 2100 | Score: [94.0/100] 94
Generation: 2200 | Score: [94.0/100] 94
Generation: 2300 | Score: [94.0/100] 94
Generation: 2400 | Score: [94.0/100] 94
Generation: 2500 | Score: [95.0/100] 95
Generation: 2600 | Score: [95.0/100] 95
Generation: 2700 | Score: [95.0/100] 95
Generation: 2800 | Score: [95.0/100] 95
Generation: 2900 | Score: [95.0/100] 95
Generation: 3000 | Score: [95.0/100] 95
Generation: 3100 | Score: [95.0/100] 95
Generation: 3200 | Score: [95.0/100] 95
Generation: 3300 | Score: [95.0/100] 95
Generation: 3400 | Score: [95.0/100] 95
Generation: 3500 | Score: [95.0/100] 95
Generation: 3600 | Score: [95.0/100] 95
Generation: 3700 | Score: [95.0/100] 95
Generation: 3800 | Score: [95.0/100] 95
Generation: 3900 | Score: [95.0/100] 95
Generation: 4000 | Score: [95.0/100] 95
Generation: 4100 | Score: [95.0/100] 95
Generation: 4200 | Score: [95.0/100] 95
Generation: 4300 | Score: [95.0/100] 95
Generation: 4400 | Score: [95.0/100] 95
Generation: 4500 | Score: [95.0/100] 95
Generation: 4600 | Score: [95.0/100] 95
Generation: 4700 | Score: [95.0/100] 95
Generation: 4800 | Score: [95.0/100] 95
Generation: 4900 | Score: [95.0/100] 95
Generation: 5000 | Score: [95.0/100] 95
