Generation, Score, Total, Percent
1,10.0,100,10
2,23.0,100,23
3,23.0,100,23
4,23.0,100,23
5,23.0,100,23
6,22.0,100,22
7,23.0,100,23
8,23.0,100,23
9,23.0,100,23
10,23.0,100,23
11,23.0,100,23
12,24.0,100,24
13,22.0,100,22
14,22.0,100,22
15,23.0,100,23
16,22.0,100,22
17,23.0,100,23
18,27.0,100,27
19,26.0,100,26
20,36.0,100,36
21,34.0,100,34
22,32.0,100,32
23,33.0,100,33
24,32.0,100,32
25,38.0,100,38
26,32.0,100,32
27,36.0,100,36
28,38.0,100,38
29,38.0,100,38
30,40.0,100,40
31,42.0,100,42
32,45.0,100,45
33,41.0,100,41
34,41.0,100,41
35,42.0,100,42
36,44.0,100,44
37,49.0,100,49
38,46.0,100,46
39,48.0,100,48
40,49.0,100,49
41,49.0,100,49
42,51.0,100,51
43,51.0,100,51
44,51.0,100,51
45,52.0,100,52
46,53.0,100,53
47,51.0,100,51
48,51.0,100,51
49,52.0,100,52
50,53.0,100,53
51,51.0,100,51
52,52.0,100,52
53,52.0,100,52
54,54.0,100,54
55,53.0,100,53
56,52.0,100,52
57,54.0,100,54
58,52.0,100,52
59,55.0,100,55
60,57.0,100,57
61,56.0,100,56
62,55.0,100,55
63,55.0,100,55
64,55.0,100,55
65,55.0,100,55
66,55.0,100,55
67,56.0,100,56
68,58.0,100,58
69,59.0,100,59
70,58.0,100,58
71,58.0,100,58
72,58.0,100,58
73,59.0,100,59
74,59.0,100,59
75,59.0,100,59
76,59.0,100,59
77,61.0,100,61
78,60.0,100,60
79,61.0,100,61
80,61.0,100,61
81,61.0,100,61
82,60.0,100,60
83,60.0,100,60
84,62.0,100,62
85,63.0,100,63
86,64.0,100,64
87,64.0,100,64
88,64.0,100,64
89,64.0,100,64
90,64.0,100,64
91,63.0,100,63
92,65.0,100,65
93,64.0,100,64
94,66.0,100,66
95,63.0,100,63
96,65.0,100,65
97,64.0,100,64
98,64.0,100,64
99,63.0,100,63
100,64.0,100,64
