Generation: 100 | Score: [140/1000] (14)
Generation: 200 | Score: [190/1000] (19)
Generation: 300 | Score: [246/1000] (24.6)
Generation: 400 | Score: [296/1000] (29.6)
Generation: 500 | Score: [329/1000] (32.9)
Generation: 600 | Score: [359/1000] (35.9)
Generation: 700 | Score: [387/1000] (38.7)
Generation: 800 | Score: [406/1000] (40.6)
Generation: 900 | Score: [426/1000] (42.6)
Generation: 1000 | Score: [441/1000] (44.1)
Generation: 1100 | Score: [446/1000] (44.6)
Generation: 1200 | Score: [460/1000] (46)
Generation: 1300 | Score: [475/1000] (47.5)
Generation: 1400 | Score: [488/1000] (48.8)
Generation: 1500 | Score: [503/1000] (50.3)
Generation: 1600 | Score: [512/1000] (51.2)
Generation: 1700 | Score: [515/1000] (51.5)
Generation: 1800 | Score: [523/1000] (52.3)
Generation: 1900 | Score: [529/1000] (52.9)
Generation: 2000 | Score: [532/1000] (53.2)
Generation: 2100 | Score: [536/1000] (53.6)
Generation: 2200 | Score: [538/1000] (53.8)
Generation: 2300 | Score: [542/1000] (54.2)
Generation: 2400 | Score: [545/1000] (54.5)
Generation: 2500 | Score: [545/1000] (54.5)
Generation: 2600 | Score: [552/1000] (55.2)
Generation: 2700 | Score: [556/1000] (55.6)
Generation: 2800 | Score: [561/1000] (56.1)
Generation: 2900 | Score: [561/1000] (56.1)
Generation: 3000 | Score: [564/1000] (56.4)
Generation: 3100 | Score: [564/1000] (56.4)
Generation: 3200 | Score: [567/1000] (56.7)
Generation: 3300 | Score: [567/1000] (56.7)
Generation: 3400 | Score: [568/1000] (56.8)
Generation: 3500 | Score: [571/1000] (57.1)
Generation: 3600 | Score: [574/1000] (57.4)
Generation: 3700 | Score: [575/1000] (57.5)
Generation: 3800 | Score: [575/1000] (57.5)
Generation: 3900 | Score: [576/1000] (57.6)
Generation: 4000 | Score: [579/1000] (57.9)
Generation: 4100 | Score: [580/1000] (58)
Generation: 4200 | Score: [580/1000] (58)
Generation: 4300 | Score: [581/1000] (58.1)
Generation: 4400 | Score: [581/1000] (58.1)
Generation: 4500 | Score: [583/1000] (58.3)
Generation: 4600 | Score: [585/1000] (58.5)
Generation: 4700 | Score: [586/1000] (58.6)
Generation: 4800 | Score: [588/1000] (58.8)
Generation: 4900 | Score: [588/1000] (58.8)
Generation: 5000 | Score: [590/1000] (59)
