Generation, Score, Total, Percent
1,10.0,100,10
2,17.0,100,17
3,17.0,100,17
4,17.0,100,17
5,17.0,100,17
6,18.0,100,18
7,19.0,100,19
8,19.0,100,19
9,18.0,100,18
10,18.0,100,18
11,18.0,100,18
12,18.0,100,18
13,17.0,100,17
14,17.0,100,17
15,17.0,100,17
16,17.0,100,17
17,17.0,100,17
18,17.0,100,17
19,18.0,100,18
20,18.0,100,18
21,18.0,100,18
22,18.0,100,18
23,18.0,100,18
24,18.0,100,18
25,18.0,100,18
26,19.0,100,19
27,19.0,100,19
28,21.0,100,21
29,20.0,100,20
30,21.0,100,21
31,21.0,100,21
32,21.0,100,21
33,21.0,100,21
34,20.0,100,20
35,22.0,100,22
36,22.0,100,22
37,22.0,100,22
38,22.0,100,22
39,23.0,100,23
40,22.0,100,22
41,22.0,100,22
42,22.0,100,22
43,22.0,100,22
44,22.0,100,22
45,22.0,100,22
46,22.0,100,22
47,22.0,100,22
48,23.0,100,23
49,25.0,100,25
50,25.0,100,25
51,24.0,100,24
52,25.0,100,25
53,24.0,100,24
54,24.0,100,24
55,24.0,100,24
56,25.0,100,25
57,24.0,100,24
58,26.0,100,26
59,26.0,100,26
60,26.0,100,26
61,25.0,100,25
62,27.0,100,27
63,27.0,100,27
64,27.0,100,27
65,27.0,100,27
66,27.0,100,27
67,27.0,100,27
68,27.0,100,27
69,27.0,100,27
70,26.0,100,26
71,26.0,100,26
72,26.0,100,26
73,26.0,100,26
74,27.0,100,27
75,27.0,100,27
76,27.0,100,27
77,28.0,100,28
78,27.0,100,27
79,27.0,100,27
80,27.0,100,27
81,26.0,100,26
82,26.0,100,26
83,26.0,100,26
84,26.0,100,26
85,26.0,100,26
86,27.0,100,27
87,27.0,100,27
88,27.0,100,27
89,27.0,100,27
90,27.0,100,27
91,28.0,100,28
92,28.0,100,28
93,28.0,100,28
94,28.0,100,28
95,29.0,100,29
96,29.0,100,29
97,29.0,100,29
98,30.0,100,30
99,30.0,100,30
100,30.0,100,30
